question,answer
what canbe the cause for chlamydia not going away after treatment and no sexual intercourse after being diagnosed,i do not know how the chlamydia was treated was the dose appropriate and taken long enough were you compliant in taking it properly are you male or female do have more than one partner as much as i would like to address your question i really do not have enough information
can you overfeed an infant,i really do not have enough information to specifically address your question to a particular infant age current weight diet but yes an infant can be overfed they usually spit up in those cases you may want to repost your question with more specifics
can you catch a cold through oral sex,hi i think your find its a hard thing to do unless somebody else who had a cold had been the first and left some germs even being stark naked on a very cold night you cant get a cold from that germs need to be passed on good luck
why do i get ring worm ever year ever year i ring worm will anything stop the worm,it is not a worm ringworm is just the lay term for tinea corporis which is a fungus you may be getting it every year because you are being re exposed to the person or animal that also has his common fungal infection
what ingredients should i look for in toothpaste,use fluoride toothpaste to help avoid cavities your brushing technique is more important than the toothpaste you use also be sure to floss your teeth daily if you only brush your teeth and do not floss you will miss 40 of the tooth surface
does the caffeine in coffee cause facial wrinkles,there are no scientific studies to my knowledge that links caffeine to facial wrinkles
what are some slang terms for condoms,slang terms include love gloves rubbers venus shirts raincoats and penis hats
is there a pill to take that gets rid of wartsgenital warts,there are oral treatments for common warts but not genital warts genital wartshpv must be treated topically using special prescription wart medications or treated by freezing them with liquid nitrogen
nephew is allergic to peanutspeas will playing in our pasture where there are cow pea and other legumes be harmful,it depends on the severity of his allergies so it is best to check with his allergist or primary care medical provider i suspect he will be fine but just in case stay with him and have that epipen and some antihistamines handy
do you need to experience a panic attack in order to have anxiety,no you do not i have had anxiety for a year now and have only experienced two panic attacks anxiety is mainly just a type of feeling people get some have it more serious others do not
does drinking gurling with cold water stop hiccups does gargling with cold water stops hiccups,it could but i find that bending all the way over and drinking from the far side of a water glass works better holding your breath sometimes works too
what is requip for parkinson is disease,requip ropinirole is a new drug used to treat parkinson is it works by increasing the amount of dopamine available in the brain
do vitamins expire,yes all vitamins should have an expiration date listed on the bottle if you think your bottle is too old purchase a new bottle and write the date that you purchased it with a black marker on the bottle rule of thumb do not keep vitamins longer than a year
i have a drug test today and last time i smoked weed was 10 days ago will i pass clean the test,there is a very good chance that you will test positive for thc depending on the type of test you had urine hair blood etc residuals of cannabis can remain present for considerably longer than ten days
under the aca what is the point of view on infertility treatments e g ivf,in some states insurers will be required to cover infertility treatments in others they will not you will need to carefully review the plans available through your state is health insurance marketplace you can get an idea of the types of benefits that will be made available where you live by checking out webmd is state health insurance pages
i am a vegetarian and my hair is falling out what can i do to solve the problem,your first step is to exclude any underlying medical conditions that may affect your hair growth such as hormonal or endocrine diseases next make sure your diet includes biotin folate magnesium and essential fatty acids omega 3s these components are essential for healthy skin and hair growth
can the eggs of a 62 year old woman be be used ad doners,it would be unlikely since the eggs of a post menopausal woman may not be viable enough for in vitro procedures
what causes warts,warts are caused by the human papilloma virus hpv which enters the skin and causes cells to multiply rapidly usually warts spread through direct contact each person responds differently and not everyone exposed to hpv will develop a wart
what do you think about the effectiveness of laser treatment for wrinkle removal,fractionated lasers work best for addressing fine lines and wrinkles in the skin they are very effective
why am i getting water blisters in an open wound i am a type 2 diabetic 75 years old with parkinsins,this is most likely an infection cellulitis so please contact your medical provider right away so you can have this wound properly examined and treated
will graves' disease read a false positive on drug test,no graves disease will not adversely affect a drug screening test
can you administer oral medication rectally due to nausea,no you cannot administer for oral use medications rectally because they will not work medications that are approved for rectal use will say so right on the packaging are specifically made in a particular way so the medication can be absorbed into your body
would a sprained neck induce a headache,it can some of the muscles of the neck attach directly to the skull this can cause a muscle tension type headache
does foot detox have a medical benefit,no those patches that go on your feet to pull out the toxins are worthless
should a burn be soaked in epson salt i burned the calf of my leg on a motorcycle muffle,no this would not be the treatment of choice for a burn
i did a small line saturday night i have a urine test monday morning will i fail it was my first time doing it,a small line of what cocaine heroin speed you are likely to fail your urine drug screen due to your decision to use any illicit drug a few days prior to an upcoming drug test what were you thinking
what is the treatment of celiac disease,stomach
can a tooth die due to rapid orthodontics treatment a month after braces were put on,there is no scientific evidence that orthodontics can kill teeth if there was an endodontic or root canal problem it is more than likely that it is been caused by a previous cavity or trauma
is it safe to take valerian when you are pregnant,you should not take valerian if you are pregnant plan on getting pregnant or currently breastfeeding due to the risk of birth defects if you are not sure if you can take a certain medication vitamin or supplement while pregnant talk to your pharmacist
why do i hiccup when smoking,smoking adversely affects that stomach for instance smokers have a higher incidence of stomach ulcers so it would not surprise me that your smoking is causing issues in your esophagus and stomach your body is sending you a message to stop smoking a wise person would listen and comply
how can i get rid of bedbugs in the quickest possible time and the easiest way possible,getting rid of bedbugs is neither quick nor easy the better question is what is the most thorough way to get rid of them the national pest management association recommends working with a professional expect to do a tremendous amount of laundry and sealing things in bags prior to treatment
my son is 10 years old his front teeth have a lot of space between them what is the best age for him to get braces,a child should have an orthodontic evaluation when they are 8 or 9 years old since your son is 10 years old i strongly suggest that you take him to a dentist or orthodontist as soon as possible
are there lifestyle changes that bring heartburn relief,one safe first step is to cut out any foods and drinks that trigger your heartburn symptoms coffee chocolate carbonated drinks spicy foods tomatoes citrus fruits and alcohol are common heartburn triggers with heartburn eating smaller meals and avoiding food for two to three hours before bedtime can ease symptoms cutting out smoking and losing weight if you are overweight can also relieve heartburn
does acyclovir cause kidney problems,the research does not support acyclovir causing kidney damage but people who have kidney damage should be careful about their dosing and may need to reduce their dosing
can shingles affect your mind,yes
what is propranolol for,propranolol is in a class of medications called beta blockers it can be used for a variety of conditions like high blood pressure rapid heartbeat migraine headache prevention and even stage fright you should talk to your doctor or pharmacist who can help you decipher why propranolol was prescribed for you
2 weeks late negative pregnancy test but can i still be pregnant,every woman is different so maybe your not producing enough hcg in your body to show positive on a test but you could still be pregnant i would say go to your doctor and see if they can do a blood pregnancy test because with blood there is no grey area good luck
is a fungal toe infection contagious through bathing with another person e g mom baby,transmission by bathing would not be very likely although it can be passed in a shower you stand on the shower floor and the next person stands there and may get exposed fungus does pass from person to person but not as easily as people believe transmission requires close and frequent contact and a person who my be particularly susceptible to getting it
is anger over little things a symptom of mania,mania i think that would be a stretch to call anger outbursts a mania at this point there are many reasons why someone would be edgy anger easily over little things but unfortunately it may take a bit of investigation to be able to determine any underlying reasons seeing a counselor may be the best place to start
how am i suppossed to pull out a condom that i tryed pulling out at the time and now it is lost,if you lost this condom in a vagina it can be found
i took my blood pressure meds this morning but it is still very high could i take a second pill,i can not answer that i do not know anything about you your blood pressure readings or even the type of blood pressure medication you are taking dosage adjustments are best made by the medical provider who is treating you
how long is qvar supposed to last before i can use my rescue inhaler,the qvar is your controller therapy and should be taken twice daily the rescue inhaler albuterol should be used for symptoms to open up the airway albuterol can be used as often as needed
is there an otc version of latisse if so what is it called and is it effective,there are no over the counter versions of latisse there are products that call themselves eyelash conditioners but latisse is an fda approved product that contains a drug that would not be legally available in otc products the good news is that latisse is eye safe has fda approval and is highly effective for growing lashes
how long after treatment of a yeast infectiondiflucan should symptoms dissappear,diffucan is not a 100 guaranteed cure so there can be treatment failure also each person and each yeast infection will respond individually so it would be impossible to know how you will respond versus someone else as a rule most women improve in a few days to a week but again there is no way to conclusively predict an individual response
can you fail a drug test from secondnhand marijuana smoke,it has certainly happened to others depending on the type and sensitivity of the test i guess you will know as soon as you have your test
i have a rash on the instep of my right foot that comes and goes what could be the cause,it could possibly be athletes foot i had it before and it burned itched and it would come and go i hope this helps
can you get genital herpes above your genitals where your pubic hair grows without have any on your penis,yes
what are the screening tests for prostate cancer,the only test i know of is the psa blood test a biopsy may be needed if psa is high
do bi lingual doctors meet the requirements for language interpreters,yes if they are bilingual in the language of the patient
what are the treatments for shingles,although you can take steps to shorten the duration of a shingles outbreak the virus must often simply run its course postherpetic neuralgia is difficult to manage and can last months or even years in rare cases so the best approach is early and immediate treatment also early medical attention may prevent or reduce the scarring that shingles can cause
should i talk to my doctor before beginning an exercise program,for most people it is ok to start an exercise program without checking with a health care provider however if you have not exercised in a while are over age 50 or have a medical condition such as diabetes or heart disease contact your health care provider before starting an exercise program
can i stop taking my medicine cold turkey atorvastatin,no it is best to work with your doctor in order to stop sometimes when you stop meds cold turkey it can cause serious problems
if have sensornurial hearing loss can you then get perforated eardrum,they would most likely be unrelated sensorineural hearing loss involves the inner ear and brain a perforated eardrum involves the middle ear an entirely different anatomical area a person can have both of course but they are likely unrelated
iud removed on 429 cycle came 514 only lasted 3 days which is not normal for me could i actually be pregnant,hi could be that your system is just kicking itself back up not knowing how long you have had it in would have helped you may need to wait till your periods get back to normal before you get pregnant hope this helps in some way good luck
how soon after getting the depo shot does work if received after period ended and can you get pregnant i got the shot the day after i stopped my period,hi your find it does say that you should use condoms for 7 days after the first shot or did you miss that bit or was not told from then on you should be ok good luck ps look out for the side effects just google depo shot side effects
why do i gag when i spit while brushing my teeth,you just have a very strong and reactive gag response there is really little that can be done to change this other than limiting the amount of toothpaste and those bubbles in your mouth when you are brushing
could a pregnancy be possible with an iud and a vasectomy together,hi only if the iud was loose and the vasectomy was just a few days before or within the 6 weeks of having it but otherwise cant see how with the vas its nil sperm so that should be the end of your question good luck
if you receive the chicken pox vaccine can you get shingles later in life,you can get the shingles if you have ever had the chicken pox
what makes people crave sugar and carbs late at night,tastes good induces a feeling of comfort
does hpv genital warts appear on the testicles,yes genital warts condylomata can occur on the scrotum the penis and the area around the genitals or rectum
can hydro condone cause a false positive for morphine,hydrocodone is an opiate the same a morphine so yes it will show up as a positive drug test not a false positive but a real positive
does stress cause gallstones,stress is not a direct cause for gallstones but certainly a person with stress can also have gallstones
can herbal nasal sprays treat pertussis the nasal spray was made using oregano and eucalyptus,pertussis can be a very serious disease while herbal nose sprays may offer some help with nasal congestion they will have no effect on this disease
what kind of dr can i see for herpes in my eye dermatologist infectious disease gynecologist,neither if you have herpes in your eye you need to be seen by an ophthalmologist
i forgot pill by 3 hours had sex condom came off am i pregnant should i take plan b help should i take plan b,a three hour delay in taking your birth control pill should not make you instantly prone to pregnancy a decision to take plan b is really up to you it would not be appropriate for me to make that decision for you i would be more concerned about std exposure from the condom failure
when should i go to er after a toenail is removed my toenail was removed and its painful and black and my whole foot is swelling,the big concern would be a secondary infection you can call the medical provider that surgically removed your nail or see another medical provider if the er is your only option this would be an acceptable next step
last night my 3 years old sons is amoxicillin left out of fridge overnight is it still effective could it hurt him,it should be fine and it will not hurt him it is unlikely that it would degrade at room temperature overnight now if you let it in a hot car that would be a different story
what type of physical therapy helps when you have been diagnosed with bppv i would like to return to my regular exercise routine pilates aerobics yoga but fear a recurrence of symptoms,the therapy for vertigo is called vestibular rehabilitation special exercise that help in inner ear you may find that certain exercises that you do in pilates or yoga may trigger symptoms again but these are very individual you will have to just try them to see what happens
will a blue peel or a laser even out my skin tone and be strong enough to remove the sun spots on my face,the blue peel is effective for some people but usually not if the spots are raised or have any depth to them laser peels are highly effective but must be done by a qualified trained aesthetic physician dermatologistplastic surgeon
i will be turning 65 in april what insurance will be good for me,shop for a plan on healthcare gov to see what your options are once you qualify for medicare you will drop the plan you buy through the marketplace and sign up for medicare
i am allergic to penicillin can i take amoxicillin,if you are allergic to penicillin you are also allergic to amoxicillin they are related you want to make sure that all of your health care providers know you are allergic to penicillin including your pharmacist this is a very important piece of information
if your husband has hpv how do you have a child without contracting it,your husband can spread hpv to you and you are infected you can spread it to your child through a vaginal delivery if you have hpv on your cervix or in the vagina a c section would likely be recommended since i do not know you particular case your ob would be the best person to address this concern
can a women get pregnant after ovulation and while she is having her period,yes
is it ok to drink vitaminwater and take a multivitamin every day,vitaminwater contains only a small amount of nutrients so it will not have an adverse affect when taken with a multivitamin be aware vitaminwater contains a lot of sugar and can add to your daily caloric intake
why do some warts have black dots in them,if you look closely many skin warts contain a number of black dots that resemble little seeds these specks are visible blood vessels that are supplying the wart with nutrients and oxygen
i fell 6 days ago hit my head i have been having headaches this morning i woke up to my ear bleeding what to do,it is very important that you see a medical provider or er someone who can carefully examine you
when pregnant do you only miss 1 period or all of them until you give birth,you will most likely miss all of them but some women do spot or have other bleeding during pregnancy consult your obgyn
what happens to the baby during the pregnancy if the mother does not take her meds she was told to take please help me find the answer to this question,not enough information knowing the name of those medications was supposed to be taking during her pregnancy would be a helpful
smoked for one year straight stopped 1 month 2 weeks weight 150 exercise drank lots of water but still positive at 94 eat no fatty foods,hi well at 94 your doing well so just keep it up please come back for more help good luck ps for more info just come back through answer this above
my left ear clogged up and developed a humming sound a few days later right ear is slightly clogged what is wrong,it wojuld not be possible to determine a specific reason for you ear related symptoms without a hands on medical examination and a more detailed medical history there could be many different reasons and only an exam could accurately sort them out
